,SYMBOL,START_DATE,END_DATE,PERCENTAGE
0,^FCHI,1990-08-02,2022-06-07,10
1,^FCHI,1990-08-06,1991-03-08,15
2,^FCHI,1990-08-13,1990-08-30,20
3,^FCHI,1990-08-20,1990-08-27,25
4,^FCHI,1990-08-31,1991-02-25,20
5,^FCHI,1990-09-04,1990-09-05,25
6,^FCHI,1990-09-07,1990-09-10,25
7,^FCHI,1990-09-14,1990-10-18,25
8,^FCHI,1990-09-24,1990-10-01,30
9,^FCHI,1990-10-30,1990-10-31,25
10,^FCHI,1990-11-07,1990-11-19,25
11,^FCHI,1990-11-26,1990-12-03,25
12,^FCHI,1990-12-17,1991-02-11,25
13,^FCHI,1990-12-28,1991-01-03,30
14,^FCHI,1991-01-08,1991-01-09,30
15,^FCHI,1991-01-11,1991-01-17,30
16,^FCHI,1991-02-26,1991-02-28,20
17,^FCHI,1991-03-11,1991-04-03,15
18,^FCHI,1991-04-10,1991-04-15,15
19,^FCHI,1991-04-16,1991-05-03,15
20,^FCHI,1991-05-06,1991-05-07,15
21,^FCHI,1991-05-14,1991-05-17,15
22,^FCHI,1991-05-21,1991-05-22,15
23,^FCHI,1991-05-23,1991-05-30,15
24,^FCHI,1991-06-18,1991-08-23,15
25,^FCHI,1991-07-04,1991-07-09,20
26,^FCHI,1991-08-19,1991-08-21,20
27,^FCHI,1991-11-18,1992-01-10,15
28,^FCHI,1991-12-02,1991-12-30,20
29,^FCHI,1992-07-17,1992-09-14,15
30,^FCHI,1992-08-13,1992-08-17,20
31,^FCHI,1992-08-24,1992-09-03,20
32,^FCHI,1992-09-16,1992-09-17,15
33,^FCHI,1992-09-22,1992-09-24,15
34,^FCHI,1992-09-28,1992-12-24,15
35,^FCHI,1992-09-30,1992-10-01,20
36,^FCHI,1992-10-02,1992-10-22,20
37,^FCHI,1992-10-05,1992-10-07,25
38,^FCHI,1992-11-20,1992-11-27,20
39,^FCHI,1992-12-17,1992-12-18,20
40,^FCHI,1993-01-11,1993-01-18,15
41,^FCHI,1993-01-20,1993-02-04,15
42,^FCHI,1994-06-01,1994-06-06,15
43,^FCHI,1994-06-13,1994-07-19,15
44,^FCHI,1994-06-20,1994-06-22,20
45,^FCHI,1994-06-27,1994-06-28,20
46,^FCHI,1994-06-30,1994-07-07,20
