,DATE,SYMBOL,NEW_HIGH
0,1990-03-01,^FCHI,1838.0
1,1990-03-02,^FCHI,1860.0
2,1990-03-05,^FCHI,1874.0
3,1990-03-06,^FCHI,1875.0
4,1990-03-07,^FCHI,1881.0
5,1990-03-08,^FCHI,1923.0
6,1990-03-09,^FCHI,1941.0
7,1990-03-14,^FCHI,1946.0
8,1990-03-15,^FCHI,1967.0
9,1990-03-16,^FCHI,1967.0
10,1990-03-26,^FCHI,1967.0
11,1990-03-30,^FCHI,1975.0
12,1990-04-03,^FCHI,1990.0
13,1990-04-04,^FCHI,2014.0
14,1990-04-05,^FCHI,2034.0
15,1990-04-06,^FCHI,2081.0
16,1990-04-09,^FCHI,2086.0
17,1990-04-11,^FCHI,2107.0
18,1990-04-12,^FCHI,2117.0
19,1990-04-17,^FCHI,2141.0
20,1990-05-23,^FCHI,2141.0
21,1993-08-06,^FCHI,2150.699951171875
22,1993-08-11,^FCHI,2171.10009765625
23,1993-08-12,^FCHI,2179.0
24,1993-08-26,^FCHI,2181.0
25,1993-08-27,^FCHI,2198.89990234375
26,1993-08-30,^FCHI,2206.5
27,1993-08-31,^FCHI,2222.89990234375
28,1993-10-22,^FCHI,2239.0
29,1993-10-25,^FCHI,2240.199951171875
30,1993-12-23,^FCHI,2245.5
31,1993-12-24,^FCHI,2256.300048828125
32,1993-12-27,^FCHI,2284.199951171875
33,1993-12-28,^FCHI,2284.199951171875
34,1993-12-29,^FCHI,2289.5
35,1994-01-03,^FCHI,2300.10009765625
36,1994-01-07,^FCHI,2308.5
37,1994-01-10,^FCHI,2321.300048828125
38,1994-01-11,^FCHI,2349.199951171875
39,1994-02-02,^FCHI,2361.0
40,1997-01-13,^FCHI,2371.39990234375
41,1997-01-14,^FCHI,2403.699951171875
42,1997-01-15,^FCHI,2418.89990234375
43,1997-01-17,^FCHI,2426.10009765625
44,1997-01-20,^FCHI,2438.5
45,1997-01-22,^FCHI,2450.300048828125
46,1997-01-23,^FCHI,2463.89990234375
