,COUNTRY_NAME,COUNTRY_CODE,INDICATOR_NAME,INDICATOR_CODE,YEAR,GDP_USD
1,Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1960,20082715853.689075
2,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960,537777811.1111112
3,Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,1960,10404280784.153095
13,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1960,18606786874.230038
14,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1960,6592693841.18495
16,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1960,195999990.0
17,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1960,11658722590.990019
18,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1960,226195579.35701
19,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1960,330442817.1688586
20,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1960,4274893913.495361
23,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1960,169803921.56862745
26,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1960,28071888.562228754
27,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1960,84466654.07691188
28,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1960,373879363.59538555
29,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1960,17030465539.390615
33,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1960,30412308.98640123
34,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1960,112155598.94957118
35,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1960,40461721692.64677
37,Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1960,9522746719.216143
39,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1960,4109999999.9999995
40,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1960,59716467625.314804
41,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1960,546203561.571989
42,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1960,614206071.0022346
43,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1960,3359404117.647059
44,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1960,131731862.56897533
45,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1960,4031152976.6390357
48,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1960,507513829.99485475
49,Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1960,1880306125.0870867
59,Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1960,672399700.0
60,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1960,2723593384.780539
61,East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1960,81340099379.71051
62,Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1960,156737903316.32166
63,East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1960,154611689864.7135
66,Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1960,2069465326.4188159
68,Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1960,244832935017.62885
70,Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1960,12072126075.39704
75,Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1960,5224102195.527708
76,Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1960,112328422.11308399
77,France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1960,62225478000.88224
80,Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1960,141468978.37681097
81,United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1960,73233967692.10281
83,Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1960,1217230038.2678075
89,Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1960,4335186016.839422
92,Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1960,1043599899.9999999
94,Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1960,170215248.20626494
95,High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1960,1065824977524.131
96,"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1960,1320796651.694569
97,Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1960,335650000.0
98,Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1960,17418918604.567833
100,Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1960,273187200.0
102,IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,1960,323994644488.98627
103,IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,1960,360378546820.43134
104,IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1960,37096406469.62742
105,IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1960,12063628120.638723
107,IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1960,25827821262.115242
109,India,IND,GDP (current US$),NY.GDP.MKTP.CD,1960,37029883875.457275
111,Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1960,1939329775.43739
112,"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1960,4199134389.9036956
114,Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1960,248434096.96872595
115,Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1960,2598500000.0
116,Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1960,40385288344.19115
117,Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1960,699050678.9864203
119,Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1960,44307342950.4
121,Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1960,791265458.8180758
123,Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1960,637142865.7142857
125,St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1960,12366563.611969901
126,"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1960,3958190758.6241856
128,Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,1960,68849285942.84358
134,Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1960,84505417300.11322
138,Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1960,1409873949.579832
139,Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,1960,91535268122.7183
140,Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,1960,342302692731.4504
141,Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1960,34579308.41383172
142,Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,1960,187454967861.44156
144,Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1960,703925705.9429578
