,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405463417.1174597,487602457.7464162,596423607.1147151,695304363.0311005,764887117.194486,872138715.0837989,958463184.3575419,1082979720.670391,1245688268.1564245,1320474860.3351955,1379960893.8547485,1531944134.0782123,1665100558.6592178,1722798882.681564,1873452513.9664805,1920111731.8435755,1941340782.122905,2021229050.2793295,2228491620.111732,2330726256.98324,2424581005.586592,2615083798.8826814,2745251396.6480446,2498882681.5642457,2390502793.296089,2549720670.3910613,2534636871.50838,2727849720.670391,2790849162.0111732,2962905027.932961,2983636871.50838,3092430167.5977654,3202188606.928933,,,
4,Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,20082715853.689075,20509450944.849934,22350432990.85816,26758657007.83691,24464990260.19023,27878943636.32073,30313844064.375843,31375545886.821873,34187176314.326794,39248424433.09714,41922329781.143684,46249016870.96693,50226254838.60599,65493333397.46228,81369112588.86316,86760396610.31857,86526285693.83763,98774170464.05013,110583938872.36208,129459368084.57858,162749624521.55707,166769327812.19183,160833004562.90628,166123894835.00452,151840387979.23795,135635521184.35118,152882538715.82748,186900528876.03714,196533243686.93185,202293218094.80902,220794642844.20712,228438506210.27646,225540065318.54962,236549488096.63208,240163682396.83105,269666272048.1179,268439881940.97308,282212139032.66675,265837312146.48907,262197179765.2739,283952504751.69775,258843211433.2027,264895032411.72528,352692089583.5937,438875574172.1629,512259874365.03534,575976209979.202,661242216575.3032,708354291357.6454,712557951490.0588,847409491176.1974,943378184761.6395,950521438838.6816,964242449960.2417,984807065632.5529,919930022724.4215,873354876607.3174,985355704660.0829,1012853224905.787,1009909855421.8359,920792331527.7456,
5,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1111112,548888895.5555556,546666677.7777778,751111191.111111,800000044.4444444,1006666637.7777778,1399999966.6666667,1673333417.7777777,1373333366.6666667,1408888922.2222223,1748886595.5555556,1831108971.1111112,1595555475.5555556,1733333264.4444444,2155555497.7777777,2366666615.5555553,2555555566.6666665,2953333417.7777777,3300000108.888889,3697940409.610984,3641723321.995465,3478787909.090909,,,,,,,,,,,,,,,,,,,,,4055179566.349814,4515558808.109944,5226778808.892088,6209137624.771814,6971285594.680126,9747879531.86311,10109305182.951962,12416161048.841185,15856678596.148008,17805113118.89377,19907317065.66665,20146404996.223026,20497126770.133526,19134211763.859024,18116562464.90881,18753469630.258575,18053228578.887756,18799450742.782288,20116137325.820553,
6,Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10404280784.153095,11128050589.282082,11943353288.47667,12676515453.675407,13838577015.184793,14862472886.17535,15832846880.934156,14426432397.41199,14880350847.419283,16882094302.968508,23504608014.67033,20832819361.2583,25264956496.18566,31273822294.475388,44214489605.73962,51444737234.31981,62129396932.54444,65315014927.36195,71199715512.1281,88628410997.20529,112031316716.51765,211003522772.2669,187163730429.1339,138115205724.0658,114262672752.22205,116507304373.05853,107497531255.43681,110321757308.76462,108943462603.11961,101768781748.05396,121802185300.13852,117457042740.62321,118282284598.65302,98826405551.0238,86281770253.47403,108221322522.55223,125763049173.42406,127063932192.74756,130106844606.85283,137520164451.48465,140407973778.9314,148012003011.166,176933365387.39597,204641949829.5608,254090255061.05554,310554338477.88654,393296680919.43146,461777599573.78754,566425696836.6353,506996402016.4371,591582966686.4966,670962551547.5798,727571396578.0541,820787588844.362,864966625366.5879,760729687146.5741,690543020916.2291,683741574626.192,741691624372.788,794572474605.8724,784587603322.8662,
7,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503400.832275,5550483035.90815,5550483035.90815,5784341596.363394,6131475065.238319,7553560459.104279,7072063345.447861,8083872012.473262,8769250549.735964,10201099039.565508,11228764963.161764,10603784541.19696,8307810973.588479,5768720421.613673,4438321017.390678,5538749259.94714,7526446605.517117,7648377412.832772,6506229607.294324,6152936539.21955,9129634978.337732,8936063723.201212,15285594828.417973,17812705294.32501,23552052407.548832,36970918699.25229,52381006892.03801,65266452081.38596,88538611205.14331,70307163678.238,83799496611.2004,111789686464.4413,128052853643.10555,136709862831.19368,145712200312.50507,116193649124.15137,101123851090.45537,122123822333.5905,101353230784.59373,89417190341.25328,58375976292.96779,
8,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338011.8548822,1897050133.4201543,2097326250.0,2080796249.9999998,2051236250.0,2253090000.0,2028553750.0,1099559027.7777777,652174990.8373039,1185315468.4629517,1880951520.397196,2392764853.421074,3199641335.937507,2258513974.0967965,2545964540.883832,3212121650.9775524,3480355258.0412197,3922100793.5403037,4348068242.195123,5611496257.142313,7184685781.518761,8052073539.380576,8896072918.981401,10677324144.428877,12881353507.853903,12044208085.864004,11926922828.991106,12890764531.328362,12319830437.346674,12776220507.016235,13228147516.116798,11386850129.841055,11861199830.83956,13019689336.691856,15156432309.897657,15400242874.8812,14887629268.292683,
9,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.08509627,89409820.35928144,113408231.94408491,150820102.7984009,186558696.27920392,220127246.37681162,227281024.6207411,254020153.34063527,308008897.5694445,411578334.15964305,446416105.8250174,388958731.3029375,375895956.3834621,327861832.9466357,330070689.29828197,346737964.77495104,482000594.0358798,611316399.407088,721425939.1515498,795449332.3963457,1029048481.8805093,1106928582.866293,1210013651.8771331,1007025755.0006536,1017549124.332381,1178738991.1929545,1223945356.6268225,1180597272.7272727,1211932397.817129,1239876305.135308,1429049198.4521837,1546926174.4966445,1755910031.9969885,2361726862.3024826,2894921777.99851,3159905484.3924885,3456442102.6220045,3952600602.24473,4085630584.444119,3674409558.210614,3449966856.6883206,3629203786.1915364,3188808942.5671334,3193704343.2062693,3271808157.300385,2789870187.5069346,2896679211.866283,3000180750.112969,3218316013.2262635,3155065487.518191,,
10,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35087069740.0462,38236378393.13714,43232801790.452774,49937328260.62849,59495475635.70831,75474648839.45903,143090327984.46085,158212828603.5567,196936860212.85056,227414223451.33673,249589400495.0727,339275890047.0084,459077135977.26355,474922214338.5851,445965287989.7635,419255240437.82983,425903525584.9644,424932951543.9271,413858855871.7716,450109307279.5311,426815994066.45306,450189038183.28015,622694677505.6173,438786561168.6687,473824842170.52686,482778271757.84955,507780486998.67554,556071398074.5673,614208445818.4456,662333681543.0176,644510115316.447,712853371173.4594,816038849805.6835,798525022054.7612,803142348125.7161,887874177404.3003,1056272163163.2042,1297924247602.134,1533188359169.9966,1789559805222.1663,2254219136401.857,1974360868641.0588,2311236505303.5557,2501780036770.702,2740553055277.6196,2799578701509.8467,2831680517612.1143,2463579840358.4307,2411981152232.615,2466442560038.4204,2730779681432.554,2776468692322.9585,2447584445275.5156,
11,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672506.500391,19213022691.052593,24871775164.60431,23775831783.426327,31225463217.75821,43598748449.04785,49333424135.11305,46622718605.28467,42803323345.137566,41807954235.90302,40603650231.54454,33943612094.79706,36384908744.21139,36275674203.214386,41464995913.919914,50701443748.29747,51552165622.446205,54239171887.769005,55625170253.33697,59305093979.84201,65743666575.86489,73571233996.18633,78839008444.56552,75674336283.18584,84445473110.95984,104337372362.15112,103311640571.81757,109816201497.61743,124346358066.71205,147824370319.94556,180617467964.60178,222116541865.21445,257916133424.09802,315474615738.5977,253547358747.44727,289787338325.3914,350666031313.8189,374590605854.3227,390107556160.6535,403137100068.07355,358135057862.4915,357045064669.84344,385605506848.19604,422215043594.28186,417215559513.36426,358868765174.92444,
12,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877.608116,18272123664.47152,25605249381.75971,28344705966.63891,28630474727.90226,24256667553.25692,26436857247.498184,31256284543.61548,31584210365.54465,33293199095.488117,34733000536.28621,52544000116.90373,72436777342.45541,52438647921.9226,51169499890.77222,56781000100.944824,58082870156.26343,69252328953.37886,76961923741.94786,78676842366.42133,84307486836.72401,103979106777.91101,79092001998.03204,88416668900.2596,110934442762.69357,111106191358.19745,126206817196.09116,76636898036.47118,141352368714.6913,189719984268.48453,228788617201.69592,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17664,164657930452.78662,198737095012.28165,232557260817.3077,287530508430.568,361558037110.41925,332976484577.6189,423627422092.4897,530163281574.65753,545982375701.128,552025140252.2463,526319673731.6383,594749285413.2124,557531376217.9669,643628665302.1549,524819742918.6688,451932356085.8417,389288056265.3253,
